TOTAL MIN: X=  -116,04261016845703000 Y=  -401,79827880859375000 Z=    -9,95894813537597660
TOTAL MAX: X=    50,01991271972656300 Y=   724,77374267578125000 Z=   906,87194824218750000
TOTAL DIF: X=   166,06252288818359000 Y=  1126,57202148437500000 Z=   916,83089637756348000
LAT: NORTH=    52,09442138671875000 SOUTH=    52,08618164062500000
LON:  WEST=     5,10864257812500000  EAST=     5,12512207031250000
POS [  0][  0]  XYZ[  -115,67935180664062000 to     14,00603485107421900][  -401,79827880859375000 to    -25,89358711242675800][    -9,93483066558837890 to    296,05242919921875000]  NWSE[    52,08892822265625000][     5,10864257812500000][    52,08618164062500000][     5,11413574218750000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160614-21/30604243514160614.nbt
POS [  1][  0]  XYZ[   -69,25922393798828100 to      5,26249837875366210][   -26,46276473999023400 to    349,43908691406250000][    -9,93265342712402340 to    296,05432128906250000]  NWSE[    52,08892822265625000][     5,11413574218750000][    52,08618164062500000][     5,11962890625000000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160615-21/30604243514160615.nbt
POS [  2][  0]  XYZ[   -68,19599914550781300 to    -17,58569335937500000][   348,86770629882812000 to    724,77374267578125000][    -9,95894813537597660 to    296,02716064453125000]  NWSE[    52,08892822265625000][     5,11962890625000000][    52,08618164062500000][     5,12512207031250000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160704-21/30604243514160704.nbt
POS [  0][  1]  XYZ[  -116,04261016845703000 to     25,88105773925781200][  -401,78704833984375000 to    -25,90213966369628900][   295,47534179687500000 to    601,46179199218750000]  NWSE[    52,09167480468750000][     5,10864257812500000][    52,08892822265625000][     5,11413574218750000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160616-21/30604243514160616.nbt
POS [  1][  1]  XYZ[   -69,81564331054687500 to    -11,23851013183593800][   -26,45262908935546900 to    349,42999267578125000][   295,47692871093750000 to    601,46313476562500000]  NWSE[    52,09167480468750000][     5,11413574218750000][    52,08892822265625000][     5,11962890625000000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160617-21/30604243514160617.nbt
POS [  2][  1]  XYZ[   -73,48997497558593700 to     50,01991271972656300][   348,87930297851562000 to    724,76196289062500000][   295,45089721679687000 to    601,43774414062500000]  NWSE[    52,09167480468750000][     5,11962890625000000][    52,08892822265625000][     5,12512207031250000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160706-21/30604243514160706.nbt
POS [  0][  2]  XYZ[   -80,41372680664062500 to     -8,07464599609375000][  -401,77401733398437000 to    -25,91418075561523400][   600,88433837890625000 to    906,87194824218750000]  NWSE[    52,09442138671875000][     5,10864257812500000][    52,09167480468750000][     5,11413574218750000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160634-21/30604243514160634.nbt
POS [  1][  2]  XYZ[   -84,02676391601562500 to     -3,41983032226562500][   -26,44092178344726600 to    349,41867065429687000][   600,88653564453125000 to    906,87139892578125000]  NWSE[    52,09442138671875000][     5,11413574218750000][    52,09167480468750000][     5,11962890625000000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160635-21/30604243514160635.nbt
POS [  2][  2]  XYZ[   -83,91162109375000000 to    -16,59277343750000000][   348,89169311523437000 to    724,75067138671875000][   600,86016845703125000 to    906,84704589843750000]  NWSE[    52,09442138671875000][     5,11962890625000000][    52,09167480468750000][     5,12512207031250000]  D:/PACMAN/EARTH/DOWNLOADED_FILES/NEW/UTRECHT/30604243514160/30604243514160724-21/30604243514160724.nbt
